Report Generated by : Nilesh
Report generated on : 10/26/2018 7:39:03 AM
<th>,HostName,</th>,<th>,Software,</th>,<th>,Installation Date,</th>,<th>,Version,</th>,<th>,Size,</th>
<tr>,<td>,localhost,</td>,<td>,Windows Driver Package - Atmel HIDClass  (08/13/2014 1.8.0.1),</td>,<td>,26/10/2018,</td>,<td>,.,</td>,<td>, ,</td>,</tr>
<tr>,<td>,localhost,</td>,<td>,Windows Driver Package - MediaTek Inc. (usbser) Ports  (01/05/2012 2.0000.0.1),</td>,<td>,26/10/2018,</td>,<td>,.,</td>,<td>, ,</td>,</tr>
<tr>,<td>,localhost,</td>,<td>,Android Studio,</td>,<td>,26/10/2018,</td>,<td>,.,</td>,<td>, ,</td>,</tr>
<tr>,<td>,localhost,</td>,<td>,Apache Tomcat 8.5 Tomcat8 (remove only),</td>,<td>,26/10/2018,</td>,<td>,.,</td>,<td>, ,</td>,</tr>
<tr>,<td>,localhost,</td>,<td>,Windows Driver Package - MediaTek Inc. (usbser) Ports  (12/24/2011 2.0000.0.0),</td>,<td>,26/10/2018,</td>,<td>,.,</td>,<td>, ,</td>,</tr>
<tr>,<td>,localhost,</td>,<td>,Git version 2.18.0,</td>,<td>,05/09/2018,</td>,<td>,2.18,</td>,<td>,229.25 MB,</td>,</tr>
<tr>,<td>,localhost,</td>,<td>,HP Client Security Manager,</td>,<td>,05/09/2018,</td>,<td>, ,</td> ,<td>,88.64 MB,</td>,</tr>
<tr>,<td>,localhost,</td>,<td>,Microsoft Security Essentials,</td>,<td>,05/02/2018,</td>,<td>,4.10,</td>,<td>, ,</td>,</tr>
<tr>,<td>,localhost,</td>,<td>,Microsoft Visual Studio 2010 Tools for Office Runtime (x64),</td>,<td>,05/02/2018,</td>,<td>,.,</td>,<td>, ,</td>,</tr>
<tr>,<td>,localhost,</td>,<td>,GlassFish Server Open Source Edition 4.1,</td>,<td>,05/02/2018,</td>,<td>,.,</td>,<td>, ,</td>,</tr>
<tr>,<td>,localhost,</td>,<td>,NetBeans IDE 8.0.2,</td>,<td>,05/02/2018,</td>,<td>,.,</td>,<td>, ,</td>,</tr>
<tr>,<td>,localhost,</td>,<td>,Notepad++ (64-bit x64),</td>,<td>,05/02/2018,</td>,<td>,7.59,</td>,<td>,11.6 MB,</td>,</tr>
<tr>,<td>,localhost,</td>,<td>,Microsoft Office Professional Plus 2016 - en-us,</td>,<td>,05/02/2018,</td>,<td>,.,</td>,<td>, ,</td>,</tr>
<tr>,<td>,localhost,</td>,<td>,Intel(R) Network Connections Drivers,</td>,<td>,05/02/2018,</td>,<td>,21.1,</td>,<td>,0.89 MB,</td>,</tr>
<tr>,<td>,localhost,</td>,<td>,Synaptics Pointing Device Driver,</td>,<td>,05/02/2018,</td>,<td>,19.0,</td>,<td>,46.44 MB,</td>,</tr>
<tr>,<td>,localhost,</td>,<td>,TeraCopy version 3.26,</td>,<td>,12/04/2018,</td>,<td>,3.26,</td>,<td>,17.64 MB,</td>,</tr>
<tr>,<td>,localhost,</td>,<td>,Vbsedit,</td>,<td>,09/09/2018,</td>,<td>, ,</td> ,<td>,9.64 MB,</td>,</tr>
<tr>,<td>,localhost,</td>,<td>,WinRAR 5.61 (64-bit),</td>,<td>,09/09/2018,</td>,<td>,5.61,</td>,<td>, ,</td>,</tr>
<tr>,<td>,localhost,</td>,<td>,Intel(R) Wireless Bluetooth(R),</td>,<td>,28/07/2018,</td>,<td>,20.60,</td>,<td>,44.89 MB,</td>,</tr>
<tr>,<td>,localhost,</td>,<td>,CamStudio 2.7,</td>,<td>,23/04/2018,</td>,<td>, ,</td> ,<td>,39.6 MB,</td>,</tr>
<tr>,<td>,localhost,</td>,<td>,Microsoft .NET Framework 4.7.2,</td>,<td>,10/10/2018,</td>,<td>,4.7,</td>,<td>,3179.74 MB,</td>,</tr>
<tr>,<td>,localhost,</td>,<td>,Canon MG3100 series MP Drivers,</td>,<td>,10/10/2018,</td>,<td>,.,</td>,<td>, ,</td>,</tr>
