,Report Generated by :,MY  PC
,Report generated on :,10/26/18 7:42:34 AM
,Computer Name: ,MYPC-PC
,Windows Key - ,Windows PID Key:       FJGCP-4DFJD-GJY49-VJBQ7-HYRR2
,Windows Key - ,Office 2007 PID Key:   KGFVY-7733B-8WCK9-KTG64-BC7D8
,Last Boot Date: ,10/26/18
,Last Boot Time: ,7:39:46 AM
,Operating System
OS,Operating System: ,Microsoft Windows 7 Ultimate 32-bit
OS,Version: ,6.1.7600,Ultimate Edition,
OS,Build Type: ,Multiprocessor Free
,Locale: ,English (United States)
OS,Serial Number: ,00426-OEM-8992662-00006
,Current Time Zone: ,India Standard Time
,Offset from UTC: ,5.5 hours
,DST In Effect: ,
OS,Install Date: ,02/02/13 8:10:54 PM
OS,Last Boot Time: ,10/26/18 7:39:46 AM
,Local Date/Time: ,10/26/18 7:42:48 AM
,System Status: ,OK
,Hardware Information
Processor,CPU: ,Intel(R) Pentium(R) 4 CPU 3.00GHz (x64)
,RAM
Memory,Physical Memory: ,1.94 GB
,Cache
,BlockSize: ,1024
,CacheType: ,4
,Description: ,Cache Memory
,DeviceID: ,Cache Memory 0
,InstalledSize: ,16
,Level: ,3
,MaxCacheSize: ,16
,NumberOfBlocks: ,16
,Purpose: ,L1 Cache
,BlockSize: ,1024
,CacheType: ,4
,Description: ,Cache Memory
,DeviceID: ,Cache Memory 1
,InstalledSize: ,0
,Level: ,3
,MaxCacheSize: ,0
,NumberOfBlocks: ,0
,Purpose: ,L1 Cache
,BlockSize: ,1024
,CacheType: ,5
,Description: ,Cache Memory
,DeviceID: ,Cache Memory 2
,InstalledSize: ,1024
,Level: ,4
,MaxCacheSize: ,1024
,NumberOfBlocks: ,1024
,Purpose: ,L2 Cache
,BlockSize: ,1024
,CacheType: ,5
,Description: ,Cache Memory
,DeviceID: ,Cache Memory 3
,InstalledSize: ,0
,Level: ,4
,MaxCacheSize: ,0
,NumberOfBlocks: ,0
,Purpose: ,L2 Cache
,BlockSize: ,1024
,CacheType: ,2
,Description: ,Cache Memory
,DeviceID: ,Cache Memory 4
,InstalledSize: ,0
,Level: ,5
,MaxCacheSize: ,0
,NumberOfBlocks: ,0
,Purpose: ,L3 Cache
,BlockSize: ,1024
,CacheType: ,2
,Description: ,Cache Memory
,DeviceID: ,Cache Memory 5
,InstalledSize: ,0
,Level: ,5
,MaxCacheSize: ,0
,NumberOfBlocks: ,0
,Purpose: ,L3 Cache
,Graphics Card
VideoCard,Video Card: ,ATI RADEON XPRESS 200 Series
VideoCard,PNP Device ID: ,PCI\VEN_1002&DEV_5A61&SUBSYS_D6008086&REV_00\4&1D1FA2D3&0&2808
VideoCard,Driver Version: ,8.172.0.0
VideoCard,Driver Date: ,08/30/05
,Sound Card
SoundCard,Sound Card: ,High Definition Audio Device
SoundCard,Manufacturer: ,Microsoft
SoundCard,PNP Device ID: ,HDAUDIO\FUNC_01&VEN_10EC&DEV_0861&SUBSYS_8086C601&REV_1003\4&26A167A7&0&0301
,Storage
Storage,Volume: ,C:
Storage,Compressed: ,False
Storage,File System: ,NTFS
Storage,Volume Size: ,29.29 GB
Storage,Free Space: ,4.61 GB
Storage,Volume: ,D:
Storage,Compressed: ,False
Storage,File System: ,NTFS
